,label,text,spam,length,filtered_text
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,149,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,ham,Oh k...i'm watching here:),0,26,oh kim watching
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,81,eh u remember 2 spell name yes v naughty make v wet
18,ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0,58,fine thatåõs way u feel thatåõs way gota b
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,156,england v macedonia dont miss goalsteam news txt ur national team 87077 eg england 87077 trywales scotland 4txtì¼120 poboxox36504w45wq 16
20,ham,Is that seriously how you spell his name?,0,41,seriously spell name
21,ham,IÛ÷m going to try for 2 months ha ha only joking,0,49,iû÷m going try 2 months ha ha joking
22,ham,So Ì_ pay first lar... Then when is da stock comin...,0,53,ì pay first lar da stock comin
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,88,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,57,ffffffffff alright way meet sooner
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,144,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
26,ham,Lol your always so convincing.,0,30,lol always convincing
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,134,catch bus frying egg make tea eating moms left dinner feel love
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,75,im back amp packing car ill let know theres room
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,64,ahhh work vaguely remember feel like lol
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,130,wait thats still clear sure sarcastic thats x doesnt want live us
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,189,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wont go badly cheers
32,ham,K tell me anything about you.,0,29,k tell anything
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,84,fear fainting housework quick cuppa
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,159,thanks subscription ringtone uk mobile charged å£5month please confirm replying yes reply charged
35,ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,123,yup ok go home look timings msg ì xuhui going learn 2nd may lesson 8am
36,ham,"Oops, I'll let you know when my roommate's done",0,47,oops ill let know roommates done
37,ham,I see the letter B on my car,0,28,see letter b car
38,ham,Anything lor... U decide...,0,27,anything lor u decide
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,155,hello hows saturday go texting see youd decided anything tomo im trying invite anything
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,82,pls go ahead watts wanted sure great weekend abiola
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,142,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,172,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow
43,ham,WHO ARE YOU SEEING?,0,19,seeing
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,72,great hope like man well endowed ltgt inches
45,ham,No calls..messages..missed calls,0,32,callsmessagesmissed calls
46,ham,Didn't you get hep b immunisation in nigeria.,0,45,didnt get hep b immunisation nigeria
47,ham,"Fair enough, anything going on?",0,31,fair enough anything going
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,67,yeah hopefully tyler cant could maybe ask around bit
49,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,148,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
50,ham,What you thinked about me. First time you saw me in class.,0,58,thinked first time saw class
51,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,124,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,80,k fyi x ride early tomorrow morning hes crashing place tonight
53,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,291,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,120,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
55,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,76,know mallika sherawat yesterday find lturlgt
56,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,161,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss
57,ham,"Sorry, I'll call later in meeting.",0,34,sorry ill call later meeting
58,ham,Tell where you reached,0,22,tell reached
59,ham,Yes..gauti and sehwag out of odi series.,0,40,yesgauti sehwag odi series
60,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,108,gonna pick 1 burger way home cant even move pain killing
61,ham,Ha ha ha good joke. Girls are situation seekers.,0,48,ha ha ha good joke girls situation seekers
62,ham,Its a part of checking IQ,0,25,part checking iq
63,ham,"Sorry my roommates took forever, it ok if I come by now?",0,56,sorry roommates took forever ok come
64,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,110,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,153,valued customer pleased advise following recent review mob awarded å£1500 bonus prize call 09066364589
66,ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,124,today song dedicated day song u dedicate send ur valuable frnds first rply
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,161,urgent ur awarded complimentary trip eurodisinc trav acoentry41 å£1000 claim txt dis 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj
68,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,80,hear new divorce barbie comes kens stuff
69,ham,I plane to give on this month end.,0,34,plane give month end
70,ham,Wah lucky man... Then can save money... Hee...,0,46,wah lucky man save money hee
71,ham,Finished class where are you.,0,29,finished class
72,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,45,hi babe im home wanna something xx
73,ham,K..k:)where are you?how did you performed?,0,42,kkwhere youhow performed
74,ham,U can call me now...,0,20,u call
75,ham,I am waiting machan. Call me once you free.,0,43,waiting machan call free
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,73,thats cool gentleman treat dignity respect
77,ham,I like you peoples very much:) but am very shy pa.,0,50,like peoples much shy pa
78,ham,Does not operate after  &lt;#&gt;  or what,0,42,operate ltgt
79,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,76,still looking job much tas earn
80,ham,"Sorry, I'll call later",0,22,sorry ill call later
81,ham,K. Did you call me just now ah? ,0,32,k call ah
82,ham,Ok i am on the way to home hi hi,0,32,ok way home hi hi
83,ham,You will be in the place of that man,0,36,place man
84,ham,Yup next stop.,0,14,yup next stop
85,ham,"I call you later, don't have network. If urgnt, sms me.",0,55,call later dont network urgnt sms
86,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,121,real u getting yo need 2 tickets one jacket im done already used multis
87,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,144,yes started send requests make pain came back im back bed double coins factory gotta cash nitros
88,ham,I'm really not up to it still tonight babe,0,42,im really still tonight babe
89,ham,"Ela kano.,il download, come wen ur free..",0,41,ela kanoil download come wen ur free
90,ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0,62,yeah donû÷t stand close tho youû÷ll catch something
91,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,195,sorry pain ok meet another night spent late afternoon casualty means havent done stuff42moro includes time sheets sorry
92,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,141,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling
93,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,139,please call customer service representative 0800 169 6031 10am9pm guaranteed å£1000 cash å£5000 prize
94,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,107,havent planning buy later check already lido got 530 show e afternoon u finish work already
95,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1,125,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
96,ham,Watching telugu movie..wat abt u?,0,33,watching telugu moviewat abt u
97,ham,i see. When we finish we have loads of loans to pay,0,51,see finish loads loans pay
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0,184,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
99,ham,Please don't text me anymore. I have nothing else to say.,0,57,please dont text anymore nothing else say
100,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,81,okay name ur price long legal wen pick u ave x ams xx
101,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,76,im still looking car buy gone 4the driving test yet
102,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
103,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,183,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
104,ham,Umma my life and vava umma love you lot dear,0,44,umma life vava umma love lot dear
105,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,95,thanks lot wishes birthday thanks making birthday truly memorable
106,ham,"Aight, I'll hit you up when I get some cash",0,43,aight ill hit get cash
107,ham,How would my ip address test that considering my computer isn't a minecraft server,0,82,would ip address test considering computer isnt minecraft server
108,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,115,know grumpy old people mom like better lying always one play jokes
109,ham,Dont worry. I guess he's busy.,0,30,dont worry guess hes busy
110,ham,What is the plural of the noun research?,0,40,plural noun research
111,ham,Going for dinner.msg you after.,0,31,going dinnermsg
112,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,96,im ok wif cos like 2 try new things scared u dun like mah cos u said loud
113,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,159,gent trying contact last weekends draw shows å£1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
114,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,143,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
115,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went
116,spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,153,winner u specially selected 2 receive å£1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18
117,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,72,goodo yes must speak friday eggpotato ratio tortilla needed
118,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,86,hmmmy uncle informed hes paying school directly pls buy food
119,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,144,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires
120,spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,157,urgent mobile awarded å£2000 bonus caller prize 5903 final try contact u call landline 09064019788 box42wr29c 150ppm
121,ham,here is my new address -apples&pairs&all that malarky,0,53,new address applespairsall malarky
122,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,156,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app
123,ham,I am going to sao mu today. Will be done only at 12 ,0,52,going sao mu today done 12
124,ham,ÌÏ predict wat time Ì_'ll finish buying?,0,40,ìï predict wat time ìll finish buying
125,ham,"Good stuff, will do.",0,20,good stuff
126,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,244,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
127,ham,Are you there in room.,0,22,room
128,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,107,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
129,ham,K..k:)how much does it cost?,0,28,kkhow much cost
130,ham,I'm home.,0,9,im home
131,ham,"Dear, will call Tmorrow.pls accomodate.",0,39,dear call tmorrowpls accomodate
132,ham,First answer my question.,0,25,first answer question
133,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,1,126,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 å£150 sptyrone
134,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,162,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uks largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p
135,ham,I only haf msn. It's yijue@hotmail.com,0,38,haf msn yijuehotmailcom
136,ham,He is there. You call and meet him,0,34,call meet
137,ham,No no. I will check all rooms befor activities,0,46,check rooms befor activities
138,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,155,youll rcv msgs chat svc free hardcore services text go 69988 u get nothing u must age verify yr network try
139,ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0,86,got c lazy type forgot ì lect saw pouch like v nice
140,ham,"K, text me when you're on the way",0,33,k text youre way
141,ham,"Sir, Waiting for your mail.",0,27,sir waiting mail
142,ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0,158,swt thought nver get tired little things 4 lovable persons cozsomtimes little things occupy biggest part hearts gud ni8
143,ham,I know you are. Can you pls open the back?,0,42,know pls open back
144,ham,Yes see ya not on the dot,0,25,yes see ya dot
145,ham,Whats the staff name who is taking class for us?,0,48,whats staff name taking class us
146,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,159,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd 08700621170150p per msg reply stop end
147,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84,ummmawill call check inour life begin qatar pls pray hard
148,ham,K..i deleted my contact that why?,0,33,ki deleted contact
149,ham,Sindu got job in birla soft ..,0,30,sindu got job birla soft
150,ham,The wine is flowing and i'm i have nevering..,0,45,wine flowing im nevering
151,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,59,yup thk cine better cos need 2 go 2 plaza mah
152,ham,Ok... Ur typical reply...,0,25,ok ur typical reply
153,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
154,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,384,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
155,ham,Aaooooright are you at work?,0,28,aaooooright work
156,ham,I'm leaving my house now...,0,27,im leaving house
157,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,157,hello love get interview today happy good boy think meare missing
158,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,124,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery
159,spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,146,winner u specially selected 2 receive å£1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810
160,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,115,keep safe need miss already envy everyone sees real life
161,ham,New car and house for my parents.:)i have only new job in hand:),0,64,new car house parentsi new job hand
162,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,85,im love im excited day spend make happy
163,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,152,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop send stop frnd 62468
164,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,155,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu
165,ham,I place all ur points on e cultures module already.,0,51,place ur points e cultures module already
166,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,157,urgent trying contact last weekends draw shows å£900 prize guaranteed call 09061701939 claim code s89 valid 12hrs
167,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,74,hi frnd best way avoid missunderstding wit beloved ones
168,ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,0,67,great escape fancy bridge needs lager see tomo
169,ham,Yes :)it completely in out of form:)clark also utter waste.,0,59,yes completely formclark also utter waste
170,ham,"Sir, I need AXIS BANK account no and bank address.",0,50,sir need axis bank account bank address
171,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0,94,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao
172,ham,What time you coming down later? ,0,33,time coming later
173,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,105,bloody hell cant believe forgot surname mr ill give u clue spanish begins
174,ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,61,well im gonna finish bath goodfine night
175,ham,Let me know when you've got the money so carlos can make the call,0,65,let know youve got money carlos make call
176,ham,U still going to the mall?,0,26,u still going mall
177,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,146,turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
178,ham,Text her. If she doesnt reply let me know so i can have her log in,0,66,text doesnt reply let know log
179,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,126,hi spoke maneesha v wed like know satisfied experience reply toll free yes
180,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,159,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend
181,ham,Lol no. U can trust me.,0,23,lol u trust
182,ham,ok. I am a gentleman and will treat you with dignity and respect.,0,65,ok gentleman treat dignity respect
183,ham,"He will, you guys close?",0,24,guys close
184,ham,Going on nothing great.bye,0,26,going nothing greatbye
185,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,152,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
186,ham,"Haha awesome, be there in a minute",0,34,haha awesome minute
187,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,149,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed å£1000 cash å£5000 prize
188,ham,Have you got Xmas radio times. If not i will get it now,0,55,got xmas radio times get
189,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,88,jus reached home go bathe first sis using net tell u finishes k
190,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,72,unique enough find 30th august wwwareyouuniquecouk
191,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,185,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week
192,ham,Hi :)finally i completed the course:),0,37,hi finally completed course
193,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,111,stop however suggest stays someone able give ors every stool
194,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,92,hope youve settled new school year wishin gr8 day
195,ham,Gud mrng dear hav a nice day,0,28,gud mrng dear hav nice day
196,ham,Did u got that persons story,0,28,u got persons story
197,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,64,hamster dead hey tmr meet 1pm orchard mrt
198,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,131,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
199,ham,"Found it, ENC  &lt;#&gt; , where you at?",0,40,found enc ltgt
200,ham,I sent you  &lt;#&gt;  bucks,0,28,sent ltgt bucks
201,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,84,hello darlin ive finished college txt u finish u love kate xxx
202,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,174,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt
203,ham,Goodmorning sleeping ga.,0,24,goodmorning sleeping ga
204,ham,U call me alter at 11 ok.,0,25,u call alter 11 ok
205,ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,0,64,ìï say like dat dun buy ericsson oso cannot oredi lar
206,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went
207,ham,"Aight yo, dats straight dogg",0,28,aight yo dats straight dogg
